chrom	start	end	length	region	1X	10X	15X	20X	30X	avg_coverage
chrX	0	4400000	4400000	p22.33	91.34	47.57	36.73	35.04	22.52	15.41
chrX	4400000	6100000	1700000	p22.32	99.96	99.86	99.39	96.31	52.99	30.01
chrX	6100000	9600000	3500000	p22.31	100.0	99.91	99.72	98.16	67.95	32.86
chrX	9600000	17400000	7800000	p22.2	99.91	99.83	99.7	98.81	72.51	33.31
chrX	17400000	19200000	1800000	p22.13	100.0	99.97	99.8	98.9	74.84	33.61
chrX	19200000	21900000	2700000	p22.12	99.99	99.95	99.77	98.34	68.56	32.68
chrX	21900000	24900000	3000000	p22.11	99.98	99.9	99.68	98.26	69.11	32.85
chrX	24900000	29300000	4400000	p21.3	99.93	99.89	99.63	97.59	61.89	31.47
chrX	29300000	31500000	2200000	p21.2	100.0	99.91	99.74	98.51	68.52	32.56
chrX	31500000	37800000	6300000	p21.1	96.91	96.7	96.48	94.56	57.52	30.15
chrX	37800000	42500000	4700000	p11.4	99.89	99.82	99.74	98.74	73.76	33.58
chrX	42500000	47600000	5100000	p11.3	99.93	99.86	99.67	98.52	68.53	33.05
chrX	47600000	50100000	2500000	p11.23	92.72	92.57	92.26	90.51	65.07	31.96
chrX	50100000	54800000	4700000	p11.22	98.93	98.85	98.54	96.26	61.2	31.36
chrX	54800000	58100000	3300000	p11.21	99.59	99.41	99.09	96.91	58.16	30.98
chrX	58100000	61000000	2900000	p11.1	97.17	59.46	42.37	32.9	17.63	17.14
chrX	61000000	63800000	2800000	q11.1	96.97	71.09	61.13	54.12	28.48	21.05
chrX	63800000	65400000	1600000	q11.2	100.0	99.97	99.57	96.55	54.98	30.34
chrX	65400000	68500000	3100000	q12	99.95	99.91	99.69	97.3	58.94	31.16
chrX	68500000	73000000	4500000	q13.1	99.93	99.73	99.36	97.61	65.72	32.31
chrX	73000000	74700000	1700000	q13.2	99.99	99.96	99.46	97.54	61.26	31.31
chrX	74700000	76800000	2100000	q13.3	99.98	99.9	99.42	96.74	58.36	30.8
chrX	76800000	85400000	8600000	q21.1	99.85	99.78	99.45	96.35	54.86	30.35
chrX	85400000	87000000	1600000	q21.2	99.71	99.64	99.23	96.28	52.4	29.77
chrX	87000000	92700000	5700000	q21.31	99.93	99.84	99.04	93.06	38.79	28.04
chrX	92700000	94300000	1600000	q21.32	99.67	99.63	99.17	95.34	47.92	29.28
chrX	94300000	99100000	4800000	q21.33	99.99	99.94	99.5	96.1	50.96	29.75
chrX	99100000	103300000	4200000	q22.1	100.0	99.65	99.01	96.24	56.0	30.65
chrX	103300000	104500000	1200000	q22.2	100.0	99.09	98.16	95.37	61.43	31.28
chrX	104500000	109400000	4900000	q22.3	99.92	99.84	99.5	97.09	61.64	31.45
chrX	109400000	117400000	8000000	q23	97.6	97.48	97.21	95.12	59.81	31.37
chrX	117400000	121800000	4400000	q24	98.59	98.01	97.46	95.48	64.91	31.67
chrX	121800000	129500000	7700000	q25	99.96	99.9	99.54	96.48	53.29	30.2
chrX	129500000	131300000	1800000	q26.1	99.98	99.95	99.53	97.97	69.12	32.81
chrX	131300000	134500000	3200000	q26.2	100.0	99.97	99.72	98.13	67.85	32.52
chrX	134500000	138900000	4400000	q26.3	99.73	99.02	98.58	96.67	63.61	31.81
chrX	138900000	141200000	2300000	q27.1	99.85	98.97	98.6	96.79	58.64	32.16
chrX	141200000	143000000	1800000	q27.2	99.6	99.27	98.54	96.04	62.98	31.96
chrX	143000000	148000000	5000000	q27.3	98.84	98.38	97.55	93.89	53.41	29.75
chrX	148000000	156040895	8040895	q28	99.63	95.52	94.06	92.05	63.59	31.19
