chrom	length	bases	mean	min	max
chr1	248956422	4809223021	19.318	0	54566
chr1_region	0	0	0.000	0	0
chr2	242193529	4826385753	19.928	0	5145
chr2_region	0	0	0.000	0	0
chr3	198295559	4057468970	20.462	0	309128
chr3_region	0	0	0.000	0	0
chr4	190214555	3934002287	20.682	0	32495
chr4_region	0	0	0.000	0	0
chr5	181538259	3649539594	20.103	0	26852
chr5_region	0	0	0.000	0	0
chr6	170805979	3375566227	19.763	0	2896
chr6_region	0	0	0.000	0	0
chr7	159345973	3163896819	19.856	0	1609
chr7_region	0	0	0.000	0	0
chr8	145138636	2897019004	19.960	0	7794
chr8_region	0	0	0.000	0	0
chr9	138394717	2436210071	17.603	0	21309
chr9_region	0	0	0.000	0	0
chr10	133797422	2768234845	20.690	0	31633
chr10_region	0	0	0.000	0	0
chr11	135086622	2701512253	19.998	0	997
chr11_region	0	0	0.000	0	0
chr12	133275309	2630057444	19.734	0	720
chr12_region	0	0	0.000	0	0
chr13	114364328	1925390029	16.836	0	3960
chr13_region	0	0	0.000	0	0
chr14	107043718	1801164273	16.826	0	962
chr14_region	0	0	0.000	0	0
chr15	101991189	1683053299	16.502	0	1218
chr15_region	0	0	0.000	0	0
chr16	90338345	1844386341	20.416	0	29769
chr16_region	0	0	0.000	0	0
chr17	83257441	1698881863	20.405	0	11563
chr17_region	0	0	0.000	0	0
chr18	80373285	1591125905	19.797	0	26962
chr18_region	0	0	0.000	0	0
chr19	58617616	1165067725	19.876	0	586
chr19_region	0	0	0.000	0	0
chr20	64444167	1343876166	20.853	0	1818
chr20_region	0	0	0.000	0	0
chr21	46709983	1147225161	24.561	0	51180
chr21_region	0	0	0.000	0	0
chr22	50818468	867824379	17.077	0	5332
chr22_region	0	0	0.000	0	0
chrX	156040895	24888735613	159.501	0	1977
chrX_region	156040895	24888735613	159.501	0	1977
chrY	57227415	184530478	3.225	0	4033
chrY_region	0	0	0.000	0	0
chrM	16569	58218085	3513.675	2882	8071
chrM_region	0	0	0.000	0	0
total	3088286401	81448595605	26.373	0	309128
total_region	156040895	24888735613	159.501	0	1977
