chrom	length	bases	mean	min	max
chr1	248956422	534570661	2.147	0	4669
chr1_region	0	0	0.000	0	0
chr2	242193529	542395769	2.240	0	995
chr2_region	0	0	0.000	0	0
chr3	198295559	450187933	2.270	0	26277
chr3_region	0	0	0.000	0	0
chr4	190214555	437969749	2.303	0	3589
chr4_region	0	0	0.000	0	0
chr5	181538259	405884740	2.236	0	1806
chr5_region	0	0	0.000	0	0
chr6	170805979	374809668	2.194	0	112
chr6_region	0	0	0.000	0	0
chr7	159345973	350945972	2.202	0	94
chr7_region	0	0	0.000	0	0
chr8	145138636	323024641	2.226	0	1061
chr8_region	0	0	0.000	0	0
chr9	138394717	270303466	1.953	0	828
chr9_region	0	0	0.000	0	0
chr10	133797422	304132052	2.273	0	2281
chr10_region	0	0	0.000	0	0
chr11	135086622	298887230	2.213	0	77
chr11_region	0	0	0.000	0	0
chr12	133275309	293550054	2.203	0	43
chr12_region	0	0	0.000	0	0
chr13	114364328	214081028	1.872	0	358
chr13_region	0	0	0.000	0	0
chr14	107043718	200818171	1.876	0	161
chr14_region	0	0	0.000	0	0
chr15	101991189	186039763	1.824	0	76
chr15_region	0	0	0.000	0	0
chr16	90338345	202546754	2.242	0	2766
chr16_region	0	0	0.000	0	0
chr17	83257441	184410019	2.215	0	866
chr17_region	0	0	0.000	0	0
chr18	80373285	175139135	2.179	0	2307
chr18_region	0	0	0.000	0	0
chr19	58617616	125484467	2.141	0	43
chr19_region	0	0	0.000	0	0
chr20	64444167	148891061	2.310	0	131
chr20_region	0	0	0.000	0	0
chr21	46709983	123303147	2.640	0	3886
chr21_region	0	0	0.000	0	0
chr22	50818468	96393564	1.897	0	408
chr22_region	0	0	0.000	0	0
chrX	156040895	24065830538	154.228	0	1258
chrX_region	156040895	24065830538	154.228	0	1258
chrY	57227415	103941435	1.816	0	535
chrY_region	0	0	0.000	0	0
chrM	16569	13068473	788.730	513	1405
chrM_region	0	0	0.000	0	0
total	3088286401	30426609490	9.852	0	26277
total_region	156040895	24065830538	154.228	0	1258
