ref	sample_name	total	primary	secondary	supplementary	unmapped	qcfail	duplicate	duplex	duplex_forming
chr1	SD386613	0	0	0	0	0	0	0	0	0
chr2	SD386613	0	0	0	0	0	0	0	0	0
chr3	SD386613	0	0	0	0	0	0	0	0	0
chr4	SD386613	0	0	0	0	0	0	0	0	0
chr5	SD386613	0	0	0	0	0	0	0	0	0
chr6	SD386613	0	0	0	0	0	0	0	0	0
chr7	SD386613	0	0	0	0	0	0	0	0	0
chr8	SD386613	0	0	0	0	0	0	0	0	0
chr9	SD386613	0	0	0	0	0	0	0	0	0
chr10	SD386613	0	0	0	0	0	0	0	0	0
chr11	SD386613	0	0	0	0	0	0	0	0	0
chr12	SD386613	0	0	0	0	0	0	0	0	0
chr13	SD386613	0	0	0	0	0	0	0	0	0
chr14	SD386613	0	0	0	0	0	0	0	0	0
chr15	SD386613	0	0	0	0	0	0	0	0	0
chr16	SD386613	0	0	0	0	0	0	0	0	0
chr17	SD386613	0	0	0	0	0	0	0	0	0
chr18	SD386613	0	0	0	0	0	0	0	0	0
chr19	SD386613	0	0	0	0	0	0	0	0	0
chr20	SD386613	0	0	0	0	0	0	0	0	0
chr21	SD386613	0	0	0	0	0	0	0	0	0
chr22	SD386613	0	0	0	0	0	0	0	0	0
chrX	SD386613	6263234	5298151	664162	300921	0	0	0	0	0
chrY	SD386613	0	0	0	0	0	0	0	0	0
chrM	SD386613	0	0	0	0	0	0	0	0	0
*	SD386613	3159758	0	0	0	3159758	0	0	0	0
