chrom	start	end	length	region	1X	10X	15X	20X	30X	avg_coverage
chrX	0	4400000	4400000	p22.33	91.49	65.24	41.32	36.14	29.38	18.17
chrX	4400000	6100000	1700000	p22.32	99.95	99.84	99.76	98.76	73.8	33.4
chrX	6100000	9600000	3500000	p22.31	99.99	99.95	99.89	99.49	85.29	36.68
chrX	9600000	17400000	7800000	p22.2	99.96	99.83	99.81	99.69	88.96	37.26
chrX	17400000	19200000	1800000	p22.13	100.0	99.98	99.93	99.79	89.15	37.3
chrX	19200000	21900000	2700000	p22.12	99.99	99.96	99.9	99.48	86.07	36.56
chrX	21900000	24900000	3000000	p22.11	99.97	99.92	99.89	99.44	85.71	36.59
chrX	24900000	29300000	4400000	p21.3	99.93	99.89	99.85	99.36	80.31	35.0
chrX	29300000	31500000	2200000	p21.2	99.99	99.93	99.86	99.63	84.94	36.25
chrX	31500000	37800000	6300000	p21.1	96.91	96.72	96.64	96.23	76.49	33.63
chrX	37800000	42500000	4700000	p11.4	99.85	99.81	99.8	99.61	87.95	37.28
chrX	42500000	47600000	5100000	p11.3	99.92	99.85	99.81	99.51	84.45	36.64
chrX	47600000	50100000	2500000	p11.23	92.74	92.59	92.38	91.69	78.45	35.68
chrX	50100000	54800000	4700000	p11.22	98.93	98.75	98.49	97.82	79.08	34.9
chrX	54800000	58100000	3300000	p11.21	99.55	99.44	99.34	98.82	79.92	34.9
chrX	58100000	61000000	2900000	p11.1	96.63	63.88	49.88	40.3	28.41	22.34
chrX	61000000	63800000	2800000	q11.1	95.36	65.83	58.58	53.56	37.14	22.55
chrX	63800000	65400000	1600000	q11.2	100.0	99.98	99.96	99.23	76.07	33.99
chrX	65400000	68500000	3100000	q12	99.94	99.91	99.9	99.4	80.06	34.9
chrX	68500000	73000000	4500000	q13.1	99.92	99.62	99.22	98.55	82.45	36.02
chrX	73000000	74700000	1700000	q13.2	99.99	99.96	99.94	99.33	80.85	35.08
chrX	74700000	76800000	2100000	q13.3	99.98	99.95	99.88	99.36	78.23	34.41
chrX	76800000	85400000	8600000	q21.1	99.9	99.81	99.77	98.93	75.31	33.9
chrX	85400000	87000000	1600000	q21.2	99.71	99.64	99.55	98.96	73.11	33.24
chrX	87000000	92700000	5700000	q21.31	99.92	99.87	99.66	97.61	61.48	31.42
chrX	92700000	94300000	1600000	q21.32	99.67	99.64	99.59	98.23	69.37	32.7
chrX	94300000	99100000	4800000	q21.33	99.98	99.94	99.87	99.0	72.46	33.25
chrX	99100000	103300000	4200000	q22.1	100.0	99.53	99.14	98.29	75.81	34.2
chrX	103300000	104500000	1200000	q22.2	100.0	99.83	98.84	96.95	80.49	35.04
chrX	104500000	109400000	4900000	q22.3	99.91	99.86	99.75	99.06	80.55	35.22
chrX	109400000	117400000	8000000	q23	97.61	97.48	97.39	96.91	78.63	35.14
chrX	117400000	121800000	4400000	q24	98.55	97.91	97.6	96.98	81.52	35.25
chrX	121800000	129500000	7700000	q25	99.96	99.91	99.86	99.1	74.37	33.78
chrX	129500000	131300000	1800000	q26.1	99.98	99.96	99.91	99.38	85.7	36.61
chrX	131300000	134500000	3200000	q26.2	100.0	99.97	99.94	99.46	84.99	36.31
chrX	134500000	138900000	4400000	q26.3	99.71	98.92	98.61	98.04	81.57	35.46
chrX	138900000	141200000	2300000	q27.1	99.81	98.93	98.69	98.22	79.88	35.99
chrX	141200000	143000000	1800000	q27.2	99.85	99.41	98.95	97.86	79.0	35.57
chrX	143000000	148000000	5000000	q27.3	98.83	98.45	98.21	96.96	74.31	33.36
chrX	148000000	156040895	8040895	q28	99.69	96.61	94.55	93.44	79.97	35.02
